"","City","X","long","lat"
"1","Aaronsburg",4,-77.4276625,40.8997575
"2","Abbeville",224,-82.5517032589286,34.1039143303571
"3","Abbotsford",14,-90.3069557142857,44.9512228571429
"4","Abbott",30,-97.0876483333333,31.8879006666667
"5","Abbottstown",37,-76.9737732432432,39.8898032432432
"6","Aberdeen",521,-85.2329646641075,40.3037609980806
"7","Aberdeen Proving Ground",1,-76.14992,39.50162
"8","Abernathy",3,-101.8495,33.88895
"9","Abilene",41,-99.7533156097561,32.4380270731707
"10","Abingdon",402,-79.14963960199,38.1023763930348
"11","Abington",694,-75.0101090057637,40.1776491642651
"12","Abiquiu",1,-106.1899,36.1633
"13","Abita Springs",2,-90.036825,30.4604
"14","Abrams",2,-88.050945,44.764835
"15","Absecon",106,-74.5280264150943,39.4499044339623
"16","Acampo",398,-121.240436934673,38.1939996482412
"17","Accident",5,-79.251334,39.690818
"18","Accokeek",51,-77.010957254902,38.6699501960784
"19","Accomac",19,-75.6685563157895,37.7256652631579
"20","Accord",5,-74.237148,41.79833
"21","Ackerman",2,-89.1887,33.31444
"22","Ackworth",4,-93.42084,41.3689775
"23","Acme",26,-86.010355,41.4478411538462
"24","Acra",2,-74.11644,42.326405
"25","Acton",1463,-112.936685324675,35.3923969172932
"26","Acushnet",7,-70.9057342857143,41.6955771428571
"27","Acworth",285,-84.6609561403509,34.0767422807018
"28","Ada",35,-86.8540788571429,41.4773145714286
"29","Adah",3,-79.8817866666667,39.9160933333333
"30","Adair",33,-94.7172496969697,41.0341633333333
"31","Adair Village",3,-123.2228,44.6687066666667
"32","Adairsville",71,-84.9167101408451,34.3818429577465
"33","Adams",51,-110.310304313725,44.9119023529412
"34","Adams Center",5,-76.008062,43.868956
"35","Adams Run",15,-80.3689833333333,32.7643833333333
"36","Adamsburg",1,-79.64802,40.28016
"37","Adamstown",42,-77.3847023809524,39.3411442857143
"38","Adamsville",9,-86.9351333333333,33.6031955555556
"39","Addis",3,-91.2599433333333,30.3651966666667
"40","Addison",525,-88.2506953142857,41.2906663238095
"41","Addy",1,-117.8365,48.3638
"42","Addyston",6,-84.71333,39.1380483333333
"43","Adel",152,-106.543393355263,40.1661244078947
"44","Adelanto",60,-117.473663333333,34.6167351666667
"45","Adell",1,-87.94135,43.62313
"46","Adelphi",20,-76.9582505,39.020371
"47","Adena",1,-80.88977,40.18163
"48","Adin",1,-120.9442,41.19465
"49","Adkins",8,-98.26981,29.3755725
"50","Adolphus",1,-86.25262,36.6817
"51","Adrian",61,-93.4347262295082,42.5144714754098
"52","Advance",48,-80.4396775,35.9972314583333
"53","Afton",175,-89.0314593142857,42.8047588
"54","Agate",28,-103.922489285714,39.4326746428571
"55","Agawam",9,-72.6183488888889,42.0725533333333
"56","Agency",3,-92.3046133333333,41.0012033333333
"57","Agoura Hills",656,-118.752015853659,34.1371992378049
"58","Aguanga",64,-116.8501703125,33.46782484375
"59","Aguilar",15,-104.624986666667,37.4117853333333
"60","Ahoskie",10,-76.986623,36.248872
"61","Ahwahnee",28,-119.7287,37.3889882142857
"62","Aiken",1811,-81.7037259304252,33.558339591386
"63","Ailey",4,-82.495575,32.1837675
"64","Ainsworth",4,-93.621385,41.609755
"65","Airmont",12,-74.0838408333333,41.1014133333333
"66","Airville",19,-76.4090752631579,39.8248310526316
"67","Airway Heights",11,-117.575736363636,47.6429018181818
"68","Aitkin",70,-93.6479362857143,46.4892268571429
"69","Ajo",39,-112.820066666667,32.3344587179487
"70","Akeley",23,-94.6992952173913,47.0157456521739
"71","Akron",2080,-81.5016434283654,41.0590391350962
"72","Alabaster",149,-86.8047286577181,33.2234617449664
"73","Alachua",303,-82.5205333663366,29.8272771287129
"74","Alameda",16,-122.25945,37.76834
